"geno","plate_id","order","pop","long","lat","alt","DOYFS1.9","AvgeSen.9","BaseDiameter.9","DryMatter.9","LeafLength.7","LeafWidth.7","MaxCanopyHeight.9","Moisture.9","StatureCategory.7","StatureLeafAngle.7","StatureStemAngle.7","StemDiameter.9","TallestStem.9","TransectCount.9","Cellulose.8","Hemicellulose.8","Lignin.8"
"Pa-298","Plate2C02",110,"sin1_1",NA,NA,NA,33.75,-0.225,-200,-425.0793892,8.375,-1.025,-15,2.80529576,-0.5,0.5,-0.5,-1.175,-24.5,-1.25,0.287492414,-1.411785405,0.075610864
"Pa-166","Plate2C03",111,"sin1_1",NA,NA,NA,62.25,-1.25,-12.5,343.4914865,10.25,0.075,28.75,3.505459425,-0.5,-1.12e-14,-0.25,1.8,46.25,-6,-4.025,-2.24,0.115
"Pa-12","Plate2C04",112,"sin1_1",138.664,36.554,700,62.5,0.425,-112.5,101.9849272,11.125,-0.225,15,1.23672974,-1,-1.11e-14,-0.5,-0.175,-4.75,1.5,-2.2525,-2.2175,0.2825
"Pa-106","Plate2C05",113,"sin1_1",NA,NA,NA,58,-0.525,-25,774.8124634,16,-0.65,21.25,5.728217665,0.25,0.25,1.51e-14,0.725,16,8,-1.0775,-2.29,-0.005
"Pa-202","Plate2C06",114,"sin1_1",NA,NA,NA,-5.25,0.425,-50,-301.4747496,-3.125,-0.45,-5,0.56572868,-1.45e-14,-1.11e-14,1.51e-14,-0.275,1.25,-1,1.19,-3.11,1.3675
"Pa-253","Plate2D01",115,"sin1_1",NA,NA,NA,23.5,-1.375,-50,563.0346262,11.125,-1.125,-31.25,2.128976982,0.875,0.375,0.25,-2.225,-52,25.5,-0.605,-2.47,-1.04
"Pa-173","Plate2D02",116,"sin1_1",NA,NA,NA,39.25,-0.3,-100,823.6780885,7.625,-0.175,36.25,6.231596097,1,-1.14e-14,0.5,1.9,45.25,-4,-1.395,-3.9625,0.9225
"Pa-48","Plate2D03",117,"sin1_2",127.317,37.85,250,50.25,0.275,-50,-42.47081135,27.625,-0.05,-7.5,3.699323147,-1.44e-14,-1.13e-14,1.52e-14,0.3,-38.75,2.25,-1.75,-2.2425,0.495
"Pa-206","Plate2D06",118,"sin1_1",NA,NA,NA,4.75,0.875,37.5,-112.3333244,2.625,-0.175,-5,-8.459310063,0.125,0.125,1.51e-14,-0.825,1.5,2,-1.76,-1.9875,0.3775
"Pa-71","Plate2E01",119,"sin1_2",126.767,33.3,NA,76.44353247,0.075,-87.5,612.8329234,27.625,-0.325,-2.37e-12,5.622504782,-0.5,-1.13e-14,-0.25,-0.175,-48.5,11.5,-1.5325,-2.2175,0.2675
"Pa-42","Plate2E02",120,NA,130.76,32.6697,50,NA,-3.675,-162.5,-565.1825718,29.25,-1.0625,-41.25,13.86416693,0.540268666,-0.175391507,0.358609385,-0.7,-133.75,-3.11e-13,-6.9475,-1.815,-0.47
"Pa-217","Plate2E03",121,"sin1_1",NA,NA,NA,4.5,1.1,-50,-350.3834124,4.375,-0.55,-7.5,-9.835067758,-0.5,-1.12e-14,-0.25,-1.25,-24.5,6,0.4325,-3.385,1.0325
"Pa-54","Plate2E04",122,"sin1_2",128.467,37.9667,510,37.75,0.525,-100,-467.62733,18.375,-0.5,-17.5,-3.142808645,-1.45e-14,-1.13e-14,1.52e-14,-0.5,-39.25,-3.11e-13,-2.25,-2.305,0.8325
"Pa-181","Plate2E05",123,"sin1_1",NA,NA,NA,79,-1.2,100,925.9195495,22.125,0.1625,45,10.16394506,0.5,-1.13e-14,0.25,2.35,20,-6.75,-0.625,-4.2275,1.08
